"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Aug 31 11:30:03 GMT 2024","Sat Aug 31 11:30:03 GMT 2024","490","","TestScenario","","","","test_geolocation_by_object[\u042f\u0440\u043e\u0441\u043b\u0430\u0432\u0441\u043a\u0438\u0439 \u0432\u043e\u043a\u0437\u0430\u043b, \u041c\u043e\u0441\u043a\u0432\u0430-200]",""
"passed","Sat Aug 31 11:29:59 GMT 2024","Sat Aug 31 11:30:00 GMT 2024","872","","TestScenario","","","","test_geolocation_by_address",""
"failed","Sat Aug 31 11:30:04 GMT 2024","Sat Aug 31 11:30:04 GMT 2024","466","","TestScenario","","","","test_geolocation_by_object[\u041b\u0435\u043d\u0438\u043d\u0433\u0440\u0430\u0434\u0441\u043a\u0438\u0439 \u0432\u043e\u043a\u0437\u0430\u043b, \u041c\u043e\u0441\u043a\u0432\u0430-400]",""
"passed","Sat Aug 31 11:30:01 GMT 2024","Sat Aug 31 11:30:01 GMT 2024","442","","TestScenario","","","","test_specific_bar_by_uri[ymapsbm1://org?oid=225375811717-\u0413\u0430\u043c\u0431\u0440\u0438\u043d\u0443\u0441]",""
"passed","Sat Aug 31 11:30:04 GMT 2024","Sat Aug 31 11:30:05 GMT 2024","475","","TestScenario","","","","test_gym_names",""
"failed","Sat Aug 31 11:30:01 GMT 2024","Sat Aug 31 11:30:02 GMT 2024","449","","TestScenario","","","","test_specific_bar_by_uri[ymapsbm1://org?oid=1234567890-\u0428\u0432\u0430\u0440\u0446\u043a\u0430\u0439\u0437\u0435\u0440]",""
"failed","Sat Aug 31 11:30:02 GMT 2024","Sat Aug 31 11:30:03 GMT 2024","433","","TestScenario","","","","test_geolocation_wrong",""
"failed","Sat Aug 31 11:30:03 GMT 2024","Sat Aug 31 11:30:04 GMT 2024","470","","TestScenario","","","","test_geolocation_by_object[\u041a\u0430\u0437\u0430\u043d\u0441\u043a\u0438\u0439 \u0432\u043e\u043a\u0437\u0430\u043b, \u041c\u043e\u0441\u043a\u0432\u0430-400]",""
"failed","Sat Aug 31 11:30:02 GMT 2024","Sat Aug 31 11:30:02 GMT 2024","473","","TestScenario","","","","test_specific_bar_by_uri[ymapsbm1://org?oid=9876543210-\u0417\u043e\u043b\u043e\u0442\u0430\u044f \u0432\u043e\u0431\u043b\u0430]",""
"passed","Sat Aug 31 11:30:00 GMT 2024","Sat Aug 31 11:30:01 GMT 2024","912","","TestScenario","","","","test_top_3_bars",""
